¥éËid,device,timestamp,location_id,location_color,duration,mAccuracy,mAltitude,mBearing,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_satellites,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mProvider,mSpeed,mTime
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4003,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418735,0,#0000FF,0.072999954,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4004,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418736,0,#0000FF,1.021000147,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4005,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418736,0,#0000FF,0.01899004,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4006,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418780,0,#0000FF,44.90499997,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4007,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418780,0,#0000FF,0.029010057,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4008,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420539,0,#0000FF,1758.946,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4009,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420540,0,#0000FF,0.101999998,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4010,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420540,0,#0000FF,0.016000032,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4011,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420541,0,#0000FF,1.180999994,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4012,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420541,0,#0000FF,0.013000011,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4013,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420586,0,#0000FF,44.88700008,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4014,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385420586,0,#0000FF,0.024999857,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4021,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422334,0,#0000FF,1748.764,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4022,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422334,0,#0000FF,0.072989941,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4023,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422335,0,#0000FF,0.021009922,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
